x,y,z,Index,10.0954277,9.96587204,10.33529979,
2440.8241200000007,555.77966,5040.26806,2063,20931.37441,3965.974189,55874.75416,59798.32387
2440.6451200000006,567.02246,5034.75896,2064,21087.21147,3851.87492,55856.49271,59828.54842
2445.8125200000004,575.29466,5038.75616,2065,21109.70004,3853.095739,55944.83782,59919.03422
2461.94772,570.82776,5022.93026,2066,20970.73042,3964.109574,55768.05562,59712.32475
2463.84272,582.07386,5018.40506,2067,21035.60768,3738.931692,55834.26252,59782.44953
2464.2651200000005,582.40166,5039.20606,2068,20990.99194,3912.065797,55728.59441,59679.16083
2485.2783200000003,572.53126,5009.21916,2069,20819.58975,3937.442894,55979.60164,59855.44732
2477.0743200000006,576.72826,5011.01616,2070,20952.27194,4007.222933,55895.31107,59827.59676
2483.924920000001,557.56666,5039.21326,2071,21014.76062,3893.643882,55875.26369,59823.28743
2492.9501200000004,572.86316,5032.99106,2072,21363.69091,3826.959243,55675.87405,59756.6386
2497.10352,582.18626,5037.92946,2073,21321.38703,3867.812342,55646.3802,59716.67394
2483.6165200000005,588.3683599999999,5033.04176,2074,21054.46795,3830.17822,55767.64118,59732.66015
2483.8915200000006,577.20006,5043.27836,2075,21083.29444,3890.120947,55671.44021,59656.91578
2487.69572,580.04396,5029.21736,2076,21055.45933,3758.755804,55795.87928,59754.83878
2464.65672,584.77496,5059.09136,2077,21051.47971,3910.382561,55641.83681,59619.37515
2471.42572,594.75326,5041.41026,2078,21151.86057,4008.055083,56026.11772,60019.92651
2466.3083200000005,584.45046,5039.27426,2079,21189.30451,3829.426793,55770.22087,59782.67868
2485.71732,590.46186,5035.94646,2080,21249.42682,3755.281701,55643.29718,59680.95846
2479.5123200000003,597.70806,5035.93556,2081,21125.25104,3807.755007,55671.00199,59666.03466
2483.5755200000003,605.92646,5036.13156,2082,21228.14162,3713.735974,55603.19622,59633.39049
2487.41232,609.83036,5023.97646,2083,21148.55128,3871.467824,55818.90323,59816.38105
2448.15772,612.75766,5063.91396,2084,21013.09285,3912.989633,55797.39547,59751.24183
2464.2585200000003,604.12526,5045.19196,2085,21108.44619,3697.459712,55835.0356,59806.26145
2463.88212,605.90256,5027.25726,2086,21055.45933,3758.755804,55795.87928,59754.83878
2460.08512,615.4806600000001,5045.27906,2087,21167.92441,3736.249876,55709.80587,59712.83829
2471.44412,615.46156,5048.32676,2088,21082.69881,3755.612568,55601.03408,59582.37831
2479.55072,597.73786,5037.82656,2089,21186.26578,3713.670199,55582.85842,59599.52478
2469.11112,610.08376,5033.08586,2090,21146.63921,3694.704148,55669.70491,59665.29337
2483.6805200000003,621.52846,5045.81006,2091,20994.35372,3698.095534,55832.85278,59764.08829
2471.3655200000003,612.29646,5043.5545600000005,2092,21269.74689,3692.971083,55603.68198,59647.37729
2434.44752,631.18296,5051.64106,2093,21271.6307,3601.608951,55670.7002,59704.9472
2457.9919200000004,615.46246,5043.34966,2094,21033.95808,3789.226458,55766.62832,59721.87592
2436.49292,625.99056,5049.71396,2095,21149.19537,3758.532569,55817.20927,59807.8246
2454.1525200000005,629.14646,5060.48556,2096,20993.32197,3810.733807,55815.00269,59754.12776
2454.0739200000003,625.9813600000001,5055.71336,2097,21126.517,3654.04937,55688.2361,59672.95399
2464.0077200000005,634.97166,5041.85696,2098,21051.31212,3734.955309,55580.58672,59550.89633
2432.3275200000007,629.0745599999999,5047.79086,2099,20890.53032,3853.270142,55872.26645,59774.34321
2440.6575200000007,643.59996,5057.6080600000005,2100,21056.32955,3810.98096,55855.28142,59813.92022
2406.8493200000003,643.86586,5061.70196,2101,21148.66839,3850.934141,55818.59524,59814.80956
2424.0145200000006,621.80526,5040.91446,2102,21147.83855,3757.493128,55748.80509,59743.44398
2417.1929200000004,631.44546,5061.71516,2103,21168.79464,3788.475031,55769.20801,59771.85768
2397.9219200000002,631.74936,5073.64186,2104,21188.76339,3787.765461,55730.51678,59742.79339
2409.1157200000007,633.67146,5069.15536,2105,21126.55335,3715.947401,55708.70413,59695.88962
2414.88052,639.53476,5051.39546,2106,21032.8173,3716.170637,55687.37414,59642.87859
2413.3735200000006,624.45096,5073.82556,2107,21009.9552,3848.715738,55620.57503,59580.86267
2401.0359200000003,653.48536,5081.57636,2108,20909.35022,3985.732526,55816.03312,59737.06172
2415.0305200000003,633.44296,5056.97906,2109,21032.4579,3983.999461,55750.01019,59718.50779
2404.90972,643.96686,5067.33656,2110,20950.39621,3892.357288,55766.58077,59699.08775
2397.71432,637.7964599999999,5065.22176,2111,21049.54139,3908.897646,55544.11655,59527.40173
2385.84272,632.01266,5085.70296,2112,21148.39783,3830.103476,55798.74319,59794.85066
2379.2965200000003,624.50826,5064.68246,2113,21187.16831,3930.907275,55693.58462,59717.02857
2370.0977200000007,629.77106,5068.3661600000005,2114,21249.9861,3827.892049,55693.23529,59732.32896
2374.51272,626.88076,5082.58076,2115,21105.8234,3850.125909,55749.3973,59735.03621
2368.0773200000003,633.94816,5071.22386,2116,21210.57557,3736.909616,55769.23178,59783.44439
2372.4213200000004,629.96806,5081.64156,2117,21252.00115,3850.059138,55801.03556,59834.99042
2368.1747200000004,647.47486,5079.92706,2118,21110.99024,4070.629797,56075.10808,60055.48835
2350.6973200000007,649.63386,5079.63046,2119,21446.85704,3929.759206,55718.08961,59832.40088
2372.1419200000005,655.61876,5075.39556,2120,21445.61732,3908.186083,55649.37744,59766.55946
2360.1971200000007,655.98636,5094.07516,2121,21407.2446,4044.856059,55846.02616,59945.055
2355.1065200000003,647.7737599999999,5093.85996,2122,21448.30876,3982.429836,55806.80783,59919.02449
2342.6665200000007,643.61826,5086.95146,2123,21446.68138,3960.55973,55718.5516,59834.79897
2311.3851200000004,652.51646,5116.73146,2124,21272.2546,4004.243137,55823.28643,59873.04975
2329.5701200000003,628.37476,5094.98786,2125,21292.05173,3931.220203,55754.20115,59810.84271
2325.3761200000004,626.26306,5090.15376,2126,21363.10537,3929.627657,55677.41401,59764.5269
2321.4813200000003,632.66116,5102.45786,2127,21491.85236,3963.14986,55905.01385,60024.80194
2313.2711200000003,648.23506,5107.25526,2128,21403.55169,3804.857928,55588.41157,59688.02619
2329.64692,628.4343600000001,5098.76986,2129,21363.22248,3909.093974,55677.10602,59762.93521
2343.0705200000007,623.2377600000001,5100.83596,2130,21271.91539,3756.502521,55731.64229,59771.41163
2343.1053200000006,617.0565600000001,5100.74656,2131,21584.52839,3807.439089,55826.31364,59974.70927
2321.7143200000005,615.25206,5108.82306,2132,21363.10941,3826.513768,55646.55797,59729.08894
2311.616720000001,621.65516,5119.12096,2133,21362.56829,3784.852437,55606.85388,59689.25055
2320.0207200000004,609.33576,5124.76876,2134,21323.01441,3889.682448,55734.63643,59800.92199
2341.07232,599.49516,5096.67286,2135,21293.60643,3829.294247,55801.52132,59848.901
2351.4717200000005,584.01396,5098.53236,2136,21466.44217,3825.638765,55628.9983,59749.72052
2349.4411200000004,603.70366,5105.39556,2137,21145.68014,3931.138483,55692.79087,59701.59624
2347.0809200000003,606.5823600000001,5091.21936,2138,21425.86864,3733.765384,55646.36263,59745.51469
2355.6555200000003,601.6382600000001,5107.37196,2139,21426.04027,3806.078748,55676.75668,59778.44655
2364.6119200000003,608.60376,5095.35756,2140,21344.48334,3694.199875,55712.56333,59775.61204
2364.3239200000003,608.38026,5081.1750600000005,2141,21469.33552,3693.803233,55734.48863,59840.70332
2343.3629200000005,608.9788599999999,5111.02786,2142,21426.9327,3786.139031,55715.5368,59813.62164
2355.3295200000002,591.03826,5088.31296,2143,21486.52803,3804.395512,55589.99908,59719.27921
2353.5855200000005,597.49926,5105.38296,2144,21271.47927,4003.649171,55784.19833,59836.29183
2368.7379200000005,581.69106,5088.42846,2145,21272.62813,3870.477216,55801.74043,59844.2941
2372.7453200000004,592.97026,5086.77816,2146,21207.61963,3982.125877,55694.75147,59728.7686
2372.7221200000004,597.09106,5086.83776,2147,21323.86646,3910.958589,55783.80455,59848.43965
2370.5535200000004,610.46546,5085.10206,2148,21426.46427,3868.273762,55716.76876,59819.85652
2366.3185200000003,625.9118599999999,5083.35776,2149,21363.04682,3939.894498,55677.568,59765.32537
2374.79892,623.99876,5095.77306,2150,21366.94971,3767.585567,55821.53046,59889.76961
2378.7447200000006,639.36896,5092.29136,2151,21108.47042,4068.699408,55948.07174,59935.87047
2376.2327200000004,645.23396,5071.54136,2152,21292.48382,3787.187441,55732.50116,59781.47155
2383.3825200000006,638.95256,5067.80436,2153,21387.57669,3788.003646,55822.23533,59899.0765
2376.5693200000005,629.97466,5083.60936,2154,21228.34958,3847.947369,55654.0583,59689.39378
2396.42792,628.05736,5100.01786,2155,21209.23692,3766.819191,55711.06161,59730.58717
2387.66712,631.8222599999999,5074.39536,2156,21273.77699,3737.305261,55819.28253,59852.59677
2400.09232,621.48046,5076.36776,2157,21054.69005,4098.452519,55859.5933,59836.3723
2411.4089200000008,625.56726,5078.52956,2158,21208.24151,3941.355495,55713.67954,59743.93592
2395.6983200000004,627.49116,5064.08886,2159,21362.42494,3980.664881,55658.63994,59750.17232
2404.2287200000005,623.54746,5078.36536,2160,21288.55468,4134.775133,55640.01676,59716.9188
2393.9315200000005,627.72626,5078.23296,2161,21290.98364,3981.960444,55715.88303,59778.10314
2404.2273200000004,610.0952599999999,5074.38966,2162,21270.9745,4023.885871,55764.96227,59819.53719
2394.3159200000005,617.67756,5094.15746,2163,21363.82215,3940.488464,55716.65611,59802.05777
2398.0991200000003,617.40106,5078.16076,2164,21185.71255,3981.350533,55635.72244,59665.89629
2407.16352,612.03396,5067.85856,2165,21290.28907,3898.934764,55656.0189,59716.58514
2413.61592,612.22266,5082.15626,2166,21342.96095,3961.137751,55716.56722,59795.88997
2419.6151200000004,614.12906,5074.73726,2167,21362.19072,4021.732246,55659.25592,59753.41239
2417.4455200000007,603.70456,5066.04036,2168,21313.21579,4096.413501,55825.46614,59895.88
2411.59952,612.26406,5084.00886,2169,21462.98146,4091.091726,55535.28193,59678.84168
2430.82852,605.7193599999999,5068.21076,2170,21340.53199,4113.95244,55640.70096,59734.6676
2430.9759200000003,617.21546,5078.77516,2171,21464.8693,3896.615706,55571.44411,59700.1644
2425.6031200000007,607.7491600000001,5064.3625600000005,2172,21361.57288,3959.38874,55609.47181,59702.65414
2439.48392,596.69916,5087.14026,2173,21248.87359,4022.962035,55696.16121,59747.47882
2428.0575200000003,601.83946,5082.27606,2174,21310.23965,3867.276178,55607.09366,59676.05051
2424.1627200000003,608.2375599999999,5094.58016,2175,21228.32737,3920.112242,55674.68032,59713.30833
2435.1783200000004,600.70906,5078.61356,2176,21340.67535,3918.139996,55588.9149,59673.30815
2443.1595200000006,598.40856,5066.44586,2177,21383.63745,3898.414545,55657.80484,59751.5592
2452.3333200000006,594.16106,5061.83156,2178,21404.53499,3939.66329,55678.36176,59780.89187
2438.9539200000004,598.35726,5061.64156,2179,21505.48724,3844.159341,55512.83573,59656.83928
2454.25772,589.90946,5054.24636,2180,21102.65545,4064.244663,55654.91096,59659.94691
