#multi:
,mass A,,,,,,,mass B,,,,,,,
t,x,y,r,θ,ω,α,step,x,y,r,θ,ω,α,step,
1.502,1.735,46.09,46.12,87.8,-252.0,1664.5,45,-1.735,-46.09,46.12,-92.2,-252.0,1664.5,45
1.535,8.235,45.26,46.00,79.7,-190.6,1188.9,46,-8.235,-45.26,46.00,-100.3,-190.6,1188.9,46
1.568,12.25,46.13,47.73,75.1,-155.6,817.4,47,-12.25,-46.13,47.73,-104.9,-155.6,817.4,47
1.602,16.89,44.71,47.79,69.3,-152.3,447.4,48,-16.89,-44.71,47.79,-110.7,-152.3,447.4,48
1.635,20.27,43.39,47.89,65.0,-118.4,931.6,49,-20.27,-43.39,47.89,-115.0,-118.4,931.6,49
1.668,22.85,41.90,47.72,61.4,-92.1,794.1,50,-22.85,-41.90,47.72,-118.6,-92.1,794.1,50
1.702,24.64,40.71,47.58,58.8,-64.7,755.4,51,-24.64,-40.71,47.58,-121.2,-64.7,755.4,51
1.735,25.83,39.90,47.53,57.1,-41.6,692.3,52,-25.83,-39.90,47.53,-122.9,-41.6,692.3,52
1.768,26.55,39.43,47.54,56.0,-19.1,695.6,53,-26.55,-39.43,47.54,-124.0,-19.1,695.6,53
1.802,26.69,39.28,47.49,55.8,5.1,789.1,54,-26.69,-39.28,47.49,-124.2,5.1,789.1,54
1.835,26.31,39.57,47.52,56.4,33.0,846.7,55,-26.31,-39.57,47.52,-123.6,33.0,846.7,55
1.869,25.20,40.34,47.57,58.0,62.5,814.7,56,-25.20,-40.34,47.57,-122.0,62.5,814.7,56
1.902,23.45,41.53,47.70,60.5,87.4,726.7,57,-23.45,-41.53,47.70,-119.5,87.4,726.7,57
1.935,21.06,42.88,47.78,63.8,110.6,760.6,58,-21.06,-42.88,47.78,-116.2,110.6,760.6,58
1.969,18.07,44.55,48.07,67.9,137.7,249.3,59,-18.07,-44.55,48.07,-112.1,137.7,249.3,59
2.002,14.07,46.10,48.20,73.0,132.8,643.5,60,-14.07,-46.10,48.20,-107.0,132.8,643.5,60
2.035,10.77,45.86,47.10,76.8,165.2,1538.0,61,-10.77,-45.86,47.10,-103.2,165.2,1538.0,61
2.069,4.851,46.55,46.80,84.1,248.9,2050.5,62,-4.851,-46.55,46.80,-95.9,248.9,2050.5,62
2.102,-2.792,47.10,47.19,93.4,300.4,554.4,63,2.792,-47.10,47.19,-86.6,300.4,554.4,63
2.135,-11.35,45.17,46.57,104.1,291.5,-406.5,64,11.35,-45.17,46.57,-75.9,291.5,-406.5,64
2.169,-18.31,43.48,47.18,112.8,262.0,251.1,65,18.31,-43.48,47.18,-67.2,262.0,251.1,65
2.202,-24.29,39.50,46.37,121.6,306.1,921.9,66,24.29,-39.50,46.37,-58.4,306.1,921.9,66
2.236,-32.05,34.04,46.76,133.3,337.9,340.1,67,32.05,-34.04,46.76,-46.7,337.9,340.1,67
2.269,-38.10,27.54,47.01,144.1,319.8,-351.4,68,38.10,-27.54,47.01,-35.9,319.8,-351.4,68
2.302,-42.52,20.18,47.07,154.6,314.5,-344.9,69,42.52,-20.18,47.07,-25.4,314.5,-344.9,69
2.336,-45.33,12.04,46.90,165.1,299.9,-220.6,70,45.33,-12.04,46.90,-14.9,299.9,-220.6,70
2.369,-47.53,4.472,47.74,174.6,294.1,-122.3,71,47.53,-4.472,47.74,-5.4,294.1,-122.3,71
2.402,-47.43,-3.938,47.59,184.7,297.4,-820.8,72,47.43,3.938,47.59,4.7,297.4,-820.8,72
2.436,-44.68,-11.53,46.15,194.5,243.2,-1452.9,73,44.68,11.53,46.15,14.5,243.2,-1452.9,73
2.469,-43.24,-16.58,46.31,201.0,188.4,-1035.5,74,43.24,16.58,46.31,21.0,188.4,-1035.5,74
2.502,-41.24,-21.06,46.31,207.0,179.5,-718.3,75,41.24,21.06,46.31,27.0,179.5,-718.3,75
2.536,-38.92,-25.23,46.38,212.9,145.2,-1129.6,76,38.92,25.23,46.38,32.9,145.2,-1129.6,76
2.569,-37.33,-27.86,46.58,216.7,97.6,-1755.0,77,37.33,27.86,46.58,36.7,97.6,-1755.0,77
2.603,-36.11,-29.73,46.77,219.5,34.8,-1338.6,78,36.11,29.73,46.77,39.5,34.8,-1338.6,78
2.636,-35.51,-28.82,45.74,219.1,-4.0,-1614.9,79,35.51,28.82,45.74,39.1,-4.0,-1614.9,79
2.669,-36.20,-29.52,46.71,219.2,-55.4,-1392.8,80,36.20,29.52,46.71,39.2,-55.4,-1392.8,80
2.703,-37.59,-26.68,46.10,215.4,-115.1,-1553.6,81,37.59,26.68,46.10,35.4,-115.1,-1553.6,81
2.736,-39.20,-24.04,45.99,211.5,-146.2,-787.9,82,39.20,24.04,45.99,31.5,-146.2,-787.9,82
2.769,-41.71,-19.99,46.26,205.6,-176.6,-1351.7,83,41.71,19.99,46.26,25.6,-176.6,-1351.7,83
2.803,-43.09,-15.46,45.78,199.7,-224.8,-1288.5,84,43.09,15.46,45.78,19.7,-224.8,-1288.5,84
2.836,-45.99,-8.607,46.78,190.6,-276.2,-716.0,85,45.99,8.607,46.78,10.6,-276.2,-716.0,85
2.870,-46.72,-1.059,46.73,181.3,-267.9,22.1,86,46.72,1.059,46.73,1.3,-267.9,22.1,86
2.903,-45.95,5.870,46.33,172.7,-269.5,-50.0,87,45.95,-5.870,46.33,-7.3,-269.5,-50.0,87
2.936,-44.80,13.43,46.77,163.3,-277.1,-232.4,88,44.80,-13.43,46.77,-16.7,-277.1,-232.4,88
2.970,-41.80,20.18,46.42,154.2,-280.6,-770.6,89,41.80,-20.18,46.42,-25.8,-280.6,-770.6,89
3.003,-37.82,26.89,46.41,144.6,-326.3,-349.7,90,37.82,-26.89,46.41,-35.4,-326.3,-349.7,90
3.036,-30.99,33.87,45.91,132.5,-319.7,633.2,91,30.99,-33.87,45.91,-47.5,-319.7,633.2,91
3.070,-25.35,38.67,46.24,123.3,-267.4,1023.6,92,25.35,-38.67,46.24,-56.7,-267.4,1023.6,92
3.103,-19.25,42.02,46.22,114.6,-255.7,551.5,93,19.25,-42.02,46.22,-65.4,-255.7,551.5,93
3.136,-12.97,44.68,46.53,106.2,-233.5,724.1,94,12.97,-44.68,46.53,-73.8,-233.5,724.1,94
3.170,-7.250,45.65,46.22,99.0,-204.0,855.2,95,7.250,-45.65,46.22,-81.0,-204.0,855.2,95
3.203,-2.087,46.40,46.44,92.6,-178.3,842.7,96,2.087,-46.40,46.44,-87.4,-178.3,842.7,96
